Date,Title,Link,Location,Speech
20 Jan 2009,FIRST PRESIDENTIAL INAUGURAL ADDRESS,speeches/barackobama/barackobamainauguraladdress.htm,N/A,"[AUTHENTICITY CERTIFIED: Text version below transcribed directly from audio][Chief Justice John G. Roberts administers the Oath of Office]I, Barack Hussein Obama, do solemnly swear that I will execute the office of the President of the United States faithfully1, and will to the best of my ability, preserve, protect, and defend the Constitution of the United States, so help me God.Thank you, thank you.My fellow citizens:I stand here today humbled by the task before us, grateful for the trust you've bestowed, mindful of the sacrifices borne by our ancestors. I thank President Bush for his service to our nation, as well as the generosity and cooperation he has shown throughout this transition. Forty-four Americans have now taken the presidential Oath. The words have been spoken during rising tides of prosperity and the still waters of peace. Yet, every so often the Oath is taken amidst gathering clouds and raging storms. At these moments, America has carried on not simply because of the skill or vision of those in high office, but because We the People have remained faithful to the ideals of our forebearers [sic], and true to our founding documents.So it has been. So it must be with this generation of Americans.That we are in the midst of crisis is now well understood. Our nation is at war, against a far-reaching network of violence and hatred. Our economy is badly weakened, a consequence of greed and irresponsibility on the part of some, but also our collective failure to make hard choices and prepare the nation for a new age. Homes have been lost; jobs shed; businesses shuttered. Our health care is too costly; our schools fail too many; and each day brings further evidence that the ways we use energy strengthen our adversaries and threaten our planet.These are the indicators of crisis, subject to data and statistics. Less measurable, but no less profound, is a sapping of confidence across our land -- a nagging fear that America's decline is inevitable, that the next generation must lower its sights. Today I say to you that the challenges we face are real. They are serious and they are many. They will not be met easily or in a short span of time. But know this, America: They will be met.On this day, we gather because we have chosen hope over fear, unity of purpose over conflict and discord.On this day, we come to proclaim an end to the petty grievances and false promises, the recriminations and worn out dogmas, that for far too long have strangled our politics. We remain a young nation, but in the words of Scripture, the time has come to ""set aside childish things.""2 The time has come to reaffirm our enduring spirit; to choose our better history; to carry forward that precious gift, that noble idea, passed on from generation to generation: the God-given promise that all are equal, all are free, and all deserve a chance to pursue their full measure of happiness.In reaffirming the greatness of our nation, we understand that greatness is never a given. It must be earned. Our journey has never been one of short-cuts or settling for less. It has not been the path for the faint-hearted -- for those who prefer leisure over work, or seek only the pleasures of riches and fame. Rather, it has been the risk-takers, the doers, the makers of things -- some celebrated but more often men and women obscure in their labor, who have carried us up the long, rugged path towards prosperity and freedom.For us, they packed up their few worldly possessions and traveled across oceans in search of a new life.For us, they toiled in sweatshops and settled the West; endured the lash of the whip and plowed the hard earth.For us, they fought and died, in places like Concord and Gettysburg; Normandy and Khe Sahn.Time and again these men and women struggled and sacrificed and worked till their hands were raw so that we might live a better life. They saw America as bigger than the sum of our individual ambitions; greater than all the differences of birth or wealth or faction.This is the journey we continue today. We remain the most prosperous, powerful nation on Earth. Our workers are no less productive than when this crisis began. Our minds are no less inventive, our goods and services no less needed than they were last week or last month or last year. Our capacity remains undiminished. But our time of standing pat, of protecting narrow interests and putting off unpleasant decisions - that time has surely passed. Starting today, we must pick ourselves up, dust ourselves off, and begin again the work of remaking America.For everywhere we look, there is work to be done. The state of our economy calls for action, bold and swift, and we will act -- not only to create new jobs, but to lay a new foundation for growth. We will build the roads and bridges, the electric grids and digital lines that feed our commerce and bind us together. We will restore science to its rightful place, and wield technology's wonders to raise health care's quality and lower its cost. We will harness the sun and the winds and the soil to fuel our cars and run our factories. And we will transform our schools and colleges and universities to meet the demands of a new age.All this we can do.All this we will do.Now, there are some who question the scale of our ambitions -- who suggest that our system cannot tolerate too many big plans. Their memories are short. For they have forgotten what this country has already done; what free men and women can achieve when imagination is joined to common purpose, and necessity to courage.What the cynics fail to understand is that the ground has shifted beneath them -- that the stale political arguments that have consumed us for so long no longer apply. The question we ask today is not whether our government is too big or too small, but whether it works -- whether it helps families find jobs at a decent wage, care they can afford, a retirement that is dignified. Where the answer is yes, we intend to move forward. Where the answer is no, programs will end. And those of us who manage the public's dollars will be held to account -- to spend wisely, reform bad habits, and do our business in the light of day -- because only then can we restore the vital trust between a people and their government.Nor is the question before us whether the market is a force for good or ill. Its power to generate wealth and expand freedom is unmatched, but this crisis has reminded us that without a watchful eye, the market can spin out of control. The nation cannot prosper long when it favors only the prosperous. The success of our economy has always depended not just on the size of our Gross Domestic Product, but on the reach of our prosperity; on the ability to extend opportunity to every willing heart -- not out of charity, but because it is the surest route to our common good.As for our common defense, we reject as false the choice between our safety and our ideals. Our Founding Fathers -- Our Founding Fathers, faced with perils that we can scarcely imagine, drafted a charter to assure the rule of law and the rights of man, a charter expanded by the blood of generations. Those ideals still light the world, and we will not give them up for expedience'[s] sake. And so to all the other peoples and governments who are watching today, from the grandest capitals to the small village where my father was born: Know that America is a friend of each nation and every man, woman, and child who seeks a future of peace and dignity. And we are ready to lead once more. Recall that earlier generations faced down fascism and communism not just with missiles and tanks, but with the sturdy alliances and enduring convictions. They understood that our power alone cannot protect us, nor does it entitle us to do as we please. Instead, they knew that our power grows through its prudent use; our security emanates from the justness of our cause, the force of our example, the tempering qualities of humility and restraint.We are the keepers of this legacy. Guided by these principles once more, we can meet those new threats that demand even greater effort -- even greater cooperation and understanding between nations. We will begin to responsibly leave Iraq to its people, and forge a hard-earned peace in Afghanistan. With old friends and former foes, we will work tirelessly to lessen the nuclear threat, and roll back the specter of a warming planet. We will not apologize for our way of life, nor will we waver in its defense, and for those who seek to advance their aims by inducing terror and slaughtering innocents, we say to you now that our spirit is stronger and cannot be broken. You cannot outlast us, and we will defeat you!For we know that our patchwork heritage is a strength, not a weakness. We are a nation of Christians and Muslims, Jews and Hindus -- and non-believers. We are shaped by every language and culture, drawn from every end of this Earth; and because we have tasted the bitter swill of civil war and segregation, and emerged from that dark chapter stronger and more united, we cannot help but believe that the old hatreds shall someday pass; that the lines of tribe shall soon dissolve; that as the world grows smaller, our common humanity shall reveal itself; and that America must play its role in ushering in a new era of peace.To the Muslim world, we seek a new way forward, based on mutual interest and mutual respect. To those leaders around the globe who seek to sow conflict, or blame their society's ills on the West -- know that your people will judge you on what you can build, not what you destroy. To those -- To those who cling to power through corruption and deceit and the silencing of dissent, know that you are on the wrong side of history; but that we will extend a hand if you are willing to unclench your fist.To the people of poor nations, we pledge to work alongside you to make your farms flourish and let clean waters flow; to nourish starved bodies and feed hungry minds. And to those nations like ours that enjoy relative plenty, we say we can no longer afford indifference to the suffering outside our borders; nor can we consume the world's resources without regard to effect. For the world has changed, and we must change with it.As we consider the road that unfolds before us, we remember with humble gratitude those brave Americans who, at this very hour, patrol far-off deserts and distant mountains. They have something to tell us, just as the fallen heroes who lie in Arlington whisper through the ages. We honor them not only because they are the guardians of our liberty, but because they embody the spirit of service; a willingness to find meaning in something greater than themselves. And yet, at this moment -- a moment that will define a generation -- it is precisely this spirit that must inhabit us all.For as much as government can do and must do, it is ultimately the faith and determination of the American people upon which this nation relies. It is the kindness to take in a stranger when the levees break, the selflessness of workers who would rather cut their hours than see a friend lose their job which sees us through our darkest hours. It is the firefighter's courage to storm a stairway filled with smoke, but also a parent's willingness to nurture a child, that finally decides our fate. Our challenges may be new. The instruments with which we meet them may be new. But those values upon which our success depends -- honesty and hard work, courage and fair play, tolerance and curiosity, loyalty and patriotism -- these things are old. These things are true. They have been the quiet force of progress throughout our history. What is demanded then is a return to these truths. What is required of us now is a new era of responsibility -- a recognition, on the part of every American, that we have duties to ourselves, our nation, and the world, duties that we do not grudgingly accept but rather seize gladly, firm in the knowledge that there is nothing so satisfying to the spirit, so defining of our character, than giving our all to a difficult task.This is the price and the promise of citizenship.This is the source of our confidence -- the knowledge that God calls on us to shape an uncertain destiny.This is the meaning of our liberty and our creed -- why men and women and children of every race and every faith can join in celebration across this magnificent mall, and why a man whose father less than sixty years ago might not have been served at a local restaurant can now stand before you to take a most sacred Oath.So let us mark this day with remembrance, of who we are and how far we have traveled. In the year of America's birth, in the coldest of months, a small band of patriots huddled by dying campfires on the shores of an icy river. The Capitol was abandoned. The enemy was advancing. The snow was stained with blood. At a moment when the outcome of our revolution was most in doubt, the father of our nation ordered these words be read to the people:Let it be told to the future world...that in the depth of winter, when nothing but hope and virtue could survive...that the city and the country, alarmed at one common danger, came forth to meet [it].America: In the face of our common dangers, in this winter of our hardship, let us remember these timeless words. With hope and virtue, let us brave once more the icy currents, and endure what storms may come. Let it be said by our children's children that when we were tested we refused to let this journey end, that we did not turn back nor did we falter; and with eyes fixed on the horizon and God's grace upon us, we carried forth that great gift of freedom and delivered it safely to future generations.Thank you, God bless you, and God bless the United States of America."
24 Jan 2009,First Presidential Weekly Speech,speeches/barackobama/weeklyaddresses/barackobamaweekly1.htm,"Washington, D.C.","[as prepared for delivery]We begin this year and this Administration in the midst of an unprecedented crisis that calls for unprecedented action. Just this week, we saw more people file for unemployment than at any time in the last twenty-six years, and experts agree that if nothing is done, the unemployment rate could reach double digits. Our economy could fall $1 trillion short of its full capacity, which translates into more than $12,000 in lost income for a family of four. And we could lose a generation of potential, as more young Americans are forced to forgo college dreams or the chance to train for the jobs of the future.In short, if we do not act boldly and swiftly, a bad situation could become dramatically worse.That is why I have proposed an American Recovery and Reinvestment Plan to immediately jumpstart job creation as well as long-term economic growth. I am pleased to say that both parties in Congress are already hard at work on this plan, and I hope to sign it into law in less than a month.Its a plan that will save or create three to four million jobs over the next few years, and one that recognizes both the paradox and the promise of this moment -- the fact that there are millions of Americans trying to find work even as, all around the country, theres so much work to be done. Thats why this is not just a short-term program to boost employment. Its one that will invest in our most important priorities like energy and education; health care and a new infrastructure that are necessary to keep us strong and competitive in the 21st century.Today Id like to talk specifically about the progress we expect to make in each of these areas.To accelerate the creation of a clean energy economy, we will double our capacity to generate alternative sources of energy like wind, solar, and biofuels over the next three years. Well begin to build a new electricity grid that lay down more than 3,000 miles of transmission lines to convey this new energy from coast to coast. Well save taxpayers $2 billion a year by making 75% of federal buildings more energy efficient, and save the average working family $350 on their energy bills by weatherizing 2.5 million homes.To lower health care cost, cut medical errors, and improve care, well computerize the nations health record in five years, saving billions of dollars in health care costs and countless lives. And well protect health insurance for more than 8 million Americans who are in danger of losing their coverage during this economic downturn.To ensure our children can compete and succeed in this new economy, well renovate and modernize 10,000 schools, building state-of-the-art classrooms, libraries, and labs to improve learning for over five million students. Well invest more in Pell Grants to make college affordable for seven million more students, provide a $2,500 college tax credit to four million students, and triple the number of fellowships in science to help spur the next generation of innovation.Finally, we will rebuild and retrofit America to meet the demands of the 21st century. That means repairing and modernizing thousands of miles of Americas roadways and providing new mass transit options for millions of Americans. It means protecting America by securing 90 major ports and creating a better communications network for local law enforcement and public safety officials in the event of an emergency. And it means expanding broadband access to millions of Americans, so business can compete on a level-playing field, wherever theyre located.I know that some are skeptical about the size and scale of this recovery plan. I understand that skepticism, which is why this recovery plan must and will include unprecedented measures that will allow the American people to hold my Administration accountable for these results. We wont just throw money at our problems -- well invest in what works. Instead of politicians doling out money behind a veil of secrecy, decisions about where we invest will be made public, and informed by independent experts whenever possible. Well launch an unprecedented effort to root out waste, inefficiency, and unnecessary spending in our government, and every American will be able to see how and where we spend taxpayer dollars by going to a new website called 
recovery.gov.No one policy or program will solve the challenges we face right now, nor will this crisis recede in a short period of time. But if we act now and act boldly; if we start rewarding hard work and responsibility once more; if we act as citizens and not partisans and begin again the work of remaking America, then I have faith that we will emerge from this trying time even stronger and more prosperous than we were before.Thanks for listening."
26 Jan 2009,Al-Arabiya Television Interview,speeches/barackobama/barackobamaal-arabiya.htm,"White House, Washington, D.C.","[AUTHENTICITY CERTIFIED: Text version below transcribed directly from edited audio above]
Mr. Melhem: Mr. President, thank you for this opportunity -- we really appreciate it.

President Obama: Thank you so much.

Mr. Melhem: Sir, you just met with your personal envoy to the Middle East, Senator Mitchell. Obviously, his first -- first task is to consolidate the cease-fire. But beyond that you've been saying that you want to pursue actively and aggressively peacemaking between the Palestinians and...the Israelis. Tell us a little bit about how do you see your personal role, because, you know, if the President of the United States is not involved, nothing happens -- as the history of peace making shows. Will you be proposing ideas, pitching proposals, parameters, as one of your predecessors did? Or just urging the parties to come up with their own resolutions, as -- as your immediate predecessor did?

President Obama: Well, I -- I think the -- the most important thing is for the United States to get engaged right away.
Mr. Melhem:Right.

President Obama:  And George Mitchell is somebody of enormous stature. He is one of the few people who have international experience brokering peace deals.
And so what I told him is start by listening, because all too often theUnited States starts by dictating -- in the past on some of these issues -- and we don't always know all the factors that are involved. So, let's listen. He's going to be speaking to all the major parties involved and he will then report back to me. From there, we will formulate a specific response.
Ultimately, we cannot tell either the Israelis or the Palestinians what's best for them. They're going to have to make some decisions. But I do believe that the moment is ripe for both sides to realize that the path that they are on is one that is not going to result in prosperity and security for their people, and that, instead, it's time to return to the negotiating table.
It's going to be difficult; it's going to take time. I don't want to prejudge many of these issues, and I want to make sure that expectations are not raised so that we think that this is going to be resolved in a few months. But if we start steady progress on these issues, I'm absolutely confident that the United States -- working in tandem with the European Union, with Russia, with all the Arab states in the region -- I'm absolutely certain that we can make significant progress.

Mr. Melhem: You've been saying essentially that we should not look at these issues -- like the Palestinian-Israeli track and separation from the border region -- you've been talking about a kind of holistic approach to the region. Are we expecting a different paradigm in the sense that in the past one of the critiques -- at least from the Arab side, the Muslim side -- is that everything the Americans always test -- tested with the Israelis, if it works. Now there is an Arab peace plan, there is a regional aspect to it. And -- And you've indicated that. Would there be any shift, a paradigm shift?

President Obama: Well -- Well, here's what I think is important. You look at the proposal that was put forth by King Abdullah of Saudi Arabia --

Mr. Melhem: Right.
President Obama: I might not agree with every aspect of the proposal, but it took great courage --

Mr. Melhem: Absolutely.

President Obama: -- to put forward something that is as significant as that.I think that there are ideas across the region of how we might pursue peace.I do think that it is impossible for us to think only in terms of thePalestinian-Israeli conflict and not think in terms of what's happening with Syria or Iran or Lebanon or Afghanistan and Pakistan.
Mr. Melhem: Sure.

President Obama:  These things are interrelated. 
Mr. Melhem: Sure.
President Obama: 
And what I've said -- and I think Hillary Clinton has expressed this in her confirmation -- is that if we are looking at the region as a whole and communicating a message to the Arab world and the Muslim world, that we are ready to initiate a new partnership based on mutual respect and mutual interest, then I think that we can make significant progress.Now, Israel is a strong ally of the United States. They will not stop being a strong ally of the United States. And I will continue to believe that Israel's security is paramount. But I also believe that there are Israelis who recognize that it is important to achieve peace. They will be willing to make sacrifices if the time is appropriate and if there is serious partnership on the other side.
And so what we want to do is to listen, set aside some of the preconceptions that have existed and -- and have built up over the last several years. And I think if we do that, then there's a possibility at least of -- of achieving some breakthroughs.


Mr. Melhem: Now I want to ask you about the broader Muslim world, but let me -- one final thing about the Palestinian-Israeli theater. There are many Palestinians and Israelis who are very frustrated now with the -- with the current conditions and they are losing hope; they are disillusioned; and they believe that time is running out on the two-state solution because -- mainly because of the -- the settlement activities in...Palestinian-occupied territories.Will it still be possible to see a Palestinian state -- and you know the contours of it -- within the first Obama Administration?President Obama: I think it is possible for us to see a Palestinian state -- I'm not going to put a time frame on it -- that is contiguous, that allows freedom of movement for its people, that allows for trade with other countries, that allows the creation of businesses and commerce so that people have a better life.And, look, I think anybody who has studied the region recognizes that the situation for the ordinary Palestinian in many cases has not improved. And the bottom line in all these talks and all these conversations is: Is a child in the Palestinian Territories going to be better off? Do they have a future for themselves? And, is the child in Israel going to feel confident about his or her safety and security? And if we can keep our focus on making their lives better and look forward, and not simply think about all the conflicts and tragedies of the past, then I think that we have an opportunity to make real progress.But it is not going to be easy, and that's why we've got George Mitchell going there. This is somebody with extraordinary patience as well as extraordinary skill, and that's what's going to be necessary.

Mr. Melhem: Let me take a broader look at the whole region. You are planning to 
address the Muslim world in your first 100 days from a Muslim capital. And everybody is speculating about the capital. If you have anything further, that would be great. How concerned are you -- because, let me tell you, honestly, when I -- when I see certain things about America -- in some parts, I don't want to exaggerate -- there is a demonization of America.

President Obama: Absolutely.

Mr. Melhem: It's become like a new religion, and like a new religion it has new converts, like a new religion has its own high priests.

President Obama: Right.

Mr. Melhem: It's own, even, religious texts.

President Obama: Right.

Mr. Melhem: And...in the last -- since 9/11 and because of Iraq, that alienation, you know, is -- is wider between the Americans. And...in generations past, the United States was held high. It was the only Western power with no colonial legacy.

President Obama: Right.

Mr. Melhem: How concerned are you and...because people sense that you have a different political discourse. And...I think, judging by [inaudible] andZawahiri and Osama bin Laden and all these, that... --
President Obama: Yeah, I noticed.Mr. Melhem:  -- a chorus --

President Obama:  They -- They seem nervous.

Mr. Melhem: They seem very nervous, exactly. And...now, tell me why they should be more nervous? President Obama: Well...I think that when you look at the rhetoric that they've been using against me before I even took office --

Mr. Melhem: I know, I know.

President Obama: -- what that tells me is that their ideas are bankrupt.
Mr. Melhem: Absolutely.
President Obama: ...There's no actions that they've taken that say a child in the Muslim world is getting a better education because of them, or has better health care because of them.
In my inauguration speech, I've spoke[n] about: You will be judged on what you built, not what you destroy. And what they've been doing is destroying things. And over time, I think the Muslim world has recognized that that path is leading no place, except more death and destruction. 
Now, my job is to communicate the fact that the United States has a stake in the well-being of the Muslim world that the language we use has to be language of respect. You know, I have Muslim members of my family.
Mr. Melhem:  True.
President Obama:  I have lived in Muslim countries.

Mr. Melhem: The largest one.

President Obama: The largest one, Indonesia. And so what I want tocommunicate is the fact that in all my travels throughout the Muslim world, what I've come to understand is is that regardless of your faith -- and America is a country of Muslim[s], Jews, Christians, non-believers -- regardless of your faith, people all have certain common hopes and common dreams.And my job is to communicate to the American people -- 
Mr. Melhem: True.
President Obama:  -- that the Muslim world is filled with extraordinary people who simply want to live their lives and see their children live better lives. My job to the Muslim world is to communicate that the Americans are not your enemy. We sometimes make mistakes. We have not been perfect. But if you look at the track record, as you say, America was not born as a colonial power, and that the same respect and partnership that America had with the Muslim world as recently as 20 or 30 years ago -- 
Mr. Melhem: True.
President Obama: -- there's no reason why we can't restore that. And -- And that I think is going to be an important task.But ultimately, people are going to judge me not by my words but by my actions and my Administration's actions. And I think that what you will see over the next several years is that I'm not going to agree with everything that some Muslim leader may say, or what's on a television station in the Arab world; but I think that what you'll see is somebody who is listening, who is respectful, and who is trying to promote the interests not just of the United States, but also ordinary people who right now are suffering from poverty and a lack of opportunity. I want to make sure that I'm speaking to them, as well.

Mr. Melhem: And any decision on -- on from where you will -- you will be addressing the Muslim world or is too early?

President Obama: Well, you know, I'm not -- I'm not going to break the news right here. 

Mr. Melhem: Maybe next time?

President Obama: But maybe next time. ...But it is something that's going to be important.
Mr. Melhem: True. 
President Obama:  I -- I want people to recognize, though, that we are going to be making a series of initiatives. Us sending George Mitchell --
Mr. Melhem: Right. True. 
President Obama: --  to the Middle East is fulfilling my campaign promise that we're not going to wait until the end of my Administration to deal with Palestinian and -- and Israeli peace. We're going to start now. It may take a long time to do -- 
Mr. Melhem: Sure.
President Obama: -- but we're going to do it now. We're going to follow through on our commitmentfor me to address the Muslim world from a Muslim capital. We are going to follow through on many of my commitments to do a more effective job of reaching out, listening, as well as speaking to the Muslim world.
And I-- you're going to see me following through with dealing with a drawdown of troops in Iraq, so that Iraqis can start taking more responsibility. And finally, I think you've already seen a commitment, in terms of closing Guantanamo -- 
Mr. Melhem: Absolutely.
President Obama: -- and making clear that even as we are decisive in going after terrorist organizations that would kill innocent civilians, that we're going to do so on our terms, and we're going to do so respecting the rule of law that I think makes America great.

Mr. Melhem: President Bush framed the war on -- on terror conceptually in a -- in a way that was very broad, ""War on terror,"" and he used sometimes certain terminology that the -- that the many people -- ""Islamofascism.""1
President Obama: Right.
Mr. Melhem:  You've always framed it in a different way, specifically against one group called al Qaeda --
President Obama: Right.
Mr. Melhem: --  and their collaborators. And -- And is this one way of --

President Obama: ...I think that you're making a very important point. And -- And that is that the language we use matters. And what we need to understand is, is that there are extremist organizations -- whether Muslim or any other faith in the past -- that will use faith as a justification for violence. We cannot paint with a broad brush a faith as a consequence of the violence that is done in that faith's name.And so you will I think see our Administration be very clear indistinguishing between organizations like al Qaeda -- that espouse violence -- 
Mr. Melhem: Right.
President Obama: -- espouse terror and act on it -- and people who may disagree with my Administration and certain actions, or may have a particular viewpoint in terms of how their countries should develop. We can have legitimate disagreements
Mr. Melhem: True.
President Obama: --  but still be respectful. I cannot respect terrorist organizations that would kill innocent civilians and we will hunt them down.But to the broader Muslim world what we are going to be offering is a hand of friendship.

Mr. Melhem: Will the United States ever live with a nuclear Iran? And if not, how far are you going in...the direction of preventing it?

President Obama: You know, I said during the campaign that it is very important for us to make sure that we are using all the tools of U.S. power, including diplomacy, in our relationship with Iran.
Now, the Iranian people are a great people. The Persian civilization is a great civilization. Iran has acted in ways that's not conducive to peace and prosperity in the region -- their threats against Israel, their pursuit of a nuclear weapon which could potentially set off a[n] arms race in the region that would make everybody less safe; their support of terrorist organizations in the past -- none of these things have been helpful.
But I do think that it is important for us to be willing to talk to Iran, to express very clearly where our differences are, but where there are potential avenues for progress. And we will, over the next several months, be laying out our general framework and approach. And as I said during my 
inauguration speech, if countries like Iran are willing to unclench their fist, they will find an extended hand from us.Mr. Melhem: Sir, I really appreciate it.

President Obama: Thank you so much.

Mr. Melhem: Thanks a lot.

President Obama: I appreciate it.

Mr. Melhem: Thank you.

President Obama: Thank you."
04 Feb 2009,Executive Compensation Salary Cap Speech,speeches/barackobama/barackobamaexecutivecompensation.htm,"Grand Foyer, The White House","Thank you, Tim, for your hard work on this issue and on our economic recovery. The economic crisis we face is unlike any we've seen in our lifetime. It's a crisis of falling confidence and rising debt, of widely distributed risk and narrowly concentrated reward; a crisis written in the fine print of sub-prime mortgages, on the ledger lines of once mighty financial institutions, and on the pink slips that have upended the lives of so many people across this country and cost the economy 2.6 million jobs last year alone.
We know that even if we do everything that we should, this crisis was years in the making, and it will take more than weeks or months to turn things around.
But make no mistake: A failure to act, and act now, will turn crisis into a catastrophe and guarantee a longer recession, a less robust recovery, and a more uncertain future. Millions more jobs will be lost. More businesses will be shuttered. More dreams will be deferred.
And that's why I feel such a sense of urgency about the economic recovery and reinvestment plan that is before Congress today. With it, we can save or create more than three million jobs, doing things that will strengthen our country for years to come. It's not merely a prescription for short-term spending -- it's a strategy for long-term economic growth in areas like renewable energy and health care and education.
Now, in the past few days I've heard criticisms that this plan is somehow wanting, and these criticisms echo the very same failed economic theories that led us into this crisis in the first place -- the notion that tax cuts alone will solve all our problems; that we can ignore fundamental challenges like energy independence and the high cost of health care; that we can somehow deal with this in a piecemeal fashion and still expect our economy and our country to thrive.
I reject those theories. And so did the American people when they went to the polls in November and voted resoundingly for change. So I urge members of Congress to act without delay. No plan is perfect, and we should work to make it stronger. No one is more committed to making it stronger than me. But let's not make the perfect the enemy of the essential. Let's show people all over the country who are looking for leadership in this difficult time that we are equal to the task.
At the same time, we know that this recovery and reinvestment plan is only the first part of what we need to do to restore prosperity and secure our future. We also need a strong and viable financial system to keep credit flowing to businesses and families alike. And my administration will do whatever it takes to restore our financial system. Our recovery depends on it. And so in the next week, Secretary Geithner will release a new strategy to get credit moving again -- a strategy that will reflect some of the lessons of past mistakes while laying the foundation of the future.
But in order to restore trust in our financial system, we're going to have to do more than just put forward our plans. In order to restore trust, we've got to make certain that taxpayer funds are not subsidizing excessive compensation packages on Wall Street.
We all need to take responsibility. And this includes executives at major financial firms who turned to the American people, hat in hand, when they were in trouble, even as they paid themselves customary lavish bonuses. As I said last week, this is the height of irresponsibility. It's shameful. And that's exactly the kind of disregard of the costs and consequences of their actions that brought about this crisis: a culture of narrow self-interest and short-term gain at the expense of everything else.
This is America. We don't disparage wealth. We don't begrudge anybody for achieving success. And we certainly believe that success should be rewarded. But what gets people upset -- and rightfully so -- are executives being rewarded for failure, especially when those rewards are subsidized by U.S. taxpayers, many of whom are having a tough time themselves.
For top executives to award themselves these kinds of compensation packages in the midst of this economic crisis isn't just bad taste -- it's bad strategy -- and I will not tolerate it as President. We're going to be demanding some restraint in exchange for federal aid -- so that when firms seek new federal dollars, we won't find them up to the same old tricks.
As part of the reforms we're announcing today, top executives at firms receiving extraordinary help from U.S. taxpayers will have their compensation capped at 500,000 dollars -- a fraction of the salaries that have been reported recently. And if these executives receive any additional compensation, it will come in the form of stock that can't be paid up until taxpayers are paid back for their assistance.
Companies receiving federal aid are going to have to disclose publicly all the perks and luxuries bestowed upon senior executives, and provide an explanation to the taxpayers and to shareholders as to why these expenses are justified. And we're putting a stop to these kinds of massive severance packages we've all read about with disgust; we're taking the air out of golden parachutes.
We're asking these firms to take responsibility, to recognize the nature of this crisis and their role in it. We believe that what we've laid out should be viewed as fair and embraced as basic common sense.
And finally, these guidelines we're putting in place are only the beginning of a long-term effort. We're going to examine the ways in which the means and manner of executive compensation have contributed to a reckless culture and a quarter-by-quarter mentality that in turn helped to wrought havoc in our financial system. We're going to be taking a look at broader reforms so that executives are compensated for sound risk management, and rewarded for growth measured over years, not just days or weeks. 
We all have to pull together and take our share of responsibility. That's true here in Washington. That's true on Wall Street. The American people are carrying a huge burden as a result of this economic crisis: bearing the brunt of its effects as well as the cost of extraordinary measures we're taking to address them. The American people expect and demand that we pursue policies that reflect the reality of this crisis -- and that will prevent these kinds of crises from occurring again in the future.
Thank you very much."
